馬券種類,馬1,馬2,馬3,確率,確率順位,key,３連単オッズ,オッズ順位,期待値,期待値順位
三連単,12,8,3,0.0162%,1779,12-8-3,81875.2,445,13.23653508,170
三連単,14,12,5,0.0142%,1974,14-12-5,93079.2,376,13.17430112,171
三連単,12,11,7,0.0179%,1642,12-11-7,73687.7,496,13.15701871,172
三連単,4,13,12,0.0694%,119,4-13-12,18934.7,1391,13.14491137,173
三連単,12,13,17,0.0137%,2021,12-13-17,95080.9,369,13.07077102,174
三連単,7,14,12,0.0306%,848,7-14-12,42308.7,818,12.95025248,175
三連単,12,4,1,0.0331%,760,12-4-1,38783,888,12.84823855,176
三連単,17,8,12,0.0051%,3215,17-8-12,252643.6,27,12.82243029,177
三連単,12,4,7,0.0347%,693,12-4-7,36843.8,922,12.77742859,178
三連単,14,7,12,0.0224%,1313,14-7-12,56682.8,622,12.67340237,179
三連単,12,3,15,0.0143%,1953,12-3-15,88425.2,397,12.66416823,180
三連単,12,7,6,0.0080%,2711,12-7-6,157902.2,160,12.64571249,181
三連単,4,7,12,0.0480%,372,4-7-12,26317,1171,12.62456892,182
三連単,12,7,11,0.0160%,1800,12-7-11,78951.1,457,12.60797204,183
三連単,15,5,17,0.0208%,1381,15-5-17,60565.2,592,12.59307104,184
三連単,12,17,8,0.0051%,3206,12-17-8,245625.7,34,12.57755792,185
三連単,11,5,12,0.0192%,1517,11-5-12,65500.2,546,12.54826313,186
三連単,8,11,12,0.0109%,2325,8-11-12,114838,268,12.51337786,187
三連単,12,7,9,0.0285%,932,12-7-9,43774.8,797,12.47882881,188
三連単,4,12,11,0.0179%,1643,4-12-11,68019.4,523,12.14480013,189
三連単,12,3,17,0.0075%,2775,12-3-17,160773.2,153,12.12462454,190
三連単,10,15,8,0.0075%,2779,10-15-8,160773.2,153,12.05667928,191
三連単,14,12,7,0.0154%,1848,14-12-7,78252.4,463,12.05184409,192
三連単,8,12,14,0.0094%,2501,8-12-14,128152.5,224,12.02408529,193
三連単,12,15,7,0.0254%,1092,12-15-7,47286.2,747,12.0137459,194
三連単,4,8,15,0.0353%,668,4-8-15,34009.7,978,12.00717412,195
三連単,12,11,4,0.0138%,2018,12-11-4,86691.4,409,11.9258764,196
三連単,4,17,8,0.0114%,2257,4-17-8,102820,324,11.75403761,197
三連単,12,14,13,0.0287%,927,12-14-13,40937.6,843,11.75166367,198
三連単,15,8,11,0.0290%,919,15-8-11,40562,853,11.74820813,199
三連単,4,12,7,0.0330%,764,4-12-7,35512.1,947,11.73465815,200
三連単,8,5,12,0.0191%,1525,8-5-12,61406.4,582,11.71748129,201
三連単,12,11,5,0.0164%,1763,12-11-5,70740.2,512,11.60774555,202
三連単,4,14,10,0.0367%,621,4-14-10,31468,1035,11.53935944,203
三連単,8,12,7,0.0124%,2147,8-12-7,92109.6,381,11.44376203,204
三連単,7,8,12,0.0265%,1031,7-8-12,43134.2,805,11.43935861,205
三連単,10,4,8,0.0102%,2392,10-4-8,110531.5,286,11.31449396,206
三連単,11,15,12,0.0156%,1830,11-15-12,72479.7,501,11.28254882,207
三連単,12,10,7,0.0071%,2841,12-10-7,157902.2,160,11.27544631,208
三連単,12,13,6,0.0116%,2224,12-13-6,97170.6,360,11.26183249,209
三連単,12,3,6,0.0064%,2999,12-3-6,176850.5,121,11.24416452,210
三連単,12,15,2,0.0130%,2095,12-15-2,85849.7,414,11.17220194,211
三連単,12,13,4,0.0330%,769,12-13-4,33879.4,980,11.16426476,212
三連単,12,17,4,0.0053%,3168,12-17-4,210536.3,70,11.15932312,213
